"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet","Description"
"C1","1","10uF","","","","Capacitor_THT:CP_Radial_Tantal_D5.0mm_P2.50mm","~","Polarized capacitor, small symbol"
"C2,C3","2","33pF","","","","Capacitor_THT:C_Disc_D3.0mm_W2.0mm_P2.50mm","~","Unpolarized capacitor, small symbol"
"C4","1","100nF","","","","Capacitor_THT:C_Disc_D3.0mm_W2.0mm_P2.50mm","~","Unpolarized capacitor, small symbol"
"J1","1","Screw_Terminal_01x02","","","","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal","~","Generic screw terminal, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)"
"R1","1","10k","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~","Resistor, small symbol"
"R2","1","100","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~","Resistor, small symbol"
"RV1","1","10k","","","","Potentiometer_THT:Potentiometer_Bourns_3386W_Horizontal","~","Potentiometer"
"SW1","1","SW_Push","","","","Button_Switch_THT:SW_PUSH_6mm","~","Push button switch, generic, two pins"
"U1","1","AT89C4051-24P","","","","Package_DIP:DIP-20_W7.62mm","http://ww1.microchip.com/downloads/en/DeviceDoc/doc1001.pdf","24MHz, 4kB Flash, 128B SRAM, DIP-20"
"U2","1","LCD-016N002L","","","","Display:LCD-016N002L","http://www.vishay.com/docs/37299/37299.pdf","LCD 12x2, 8 bit parallel bus, 3V or 5V VDD"
"U3","1","HC-SR04","","","","Libraryfootprint:HC-SR04_","",""
"Y1","1","11.0592MHz","","","","Crystal:Crystal_HC49-U_Horizontal","~","Two pin crystal"
